JOB_NUMBER,USER,TIMESTAMP,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
84,zhouyuan,1580873214549,c69024be0a02da34a4d5a0f1df35fd91b08348f2,origin/lua,ios,debug,1.0.7,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,1,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
85,zhouyuan,1580892458317,ea8cfcf54e4ac7b3a4da537f918ba15dec27ee73,origin/lua,ios,debug,1.0.7,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,1,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
86,zhouyuan,1580893011228,ea8cfcf54e4ac7b3a4da537f918ba15dec27ee73,origin/lua,ios,debug,1.0.7,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,1,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
87,sagittarius,1580896411469,74c70423c1a14a80faedbcf08304672a96ac28b8,origin/lua,ios,debug,1.0.7,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
88,sagittarius,1580897187593,09d1340475d4ce6429ab5fcf05c43260afe263f2,origin/lua,ios,debug,1.0.7,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
89,zhouyuan,1580954408850,16060da0e92615027c12cb1ff98d3853d8eed84e,origin/lua,ios,debug,1.0.7,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
90,NO_JOB,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
91,NO_JOB,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
92,NO_JOB,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
93,NO_JOB,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
